,A,B,C,D,Return,Beta,Risk,SharpeRatio,TreynorRatio,InformationRatio,DownRisk,SortioRatio,Efficient
1992,HDFC,TCS,SUNPHARMA,ITC,0.0921094091891134,0.6704774033075477,0.012902179969616616,1.791124387005437,0.03446709624382839,-4.00261585511925,0.005569467738905292,4.149302998504425,7.139057849605425
1993,HDFC,TCS,SUNPHARMA,VIDEOIND,-0.5726970525561303,0.49880332057331955,0.018166826006433972,-35.32246372199891,-1.286473096888309,-39.43720997842415,0.008806784139143198,-72.86394697742192,-31.52433189778466
1994,HDFC,TCS,SUNPHARMA,HINDZINC,0.03547211617723308,0.804329310667706,0.013972928699954756,-2.399488649997583,-0.04168427456029681,-7.749253248835399,0.006113795161954873,-5.483972382883442,2.5386314450561778
1995,HDFC,TCS,ITC,LT,0.053285676927557875,0.8074502849622569,0.012066269881495006,-1.3023347916775696,-0.019461660197663655,-7.497445628353231,0.005040380393917106,-3.117685937237333,4.416085289893731
1996,HDFC,TCS,ITC,ICICIBANK,0.052867880903499975,0.9090049433199054,0.013212135692011318,-1.221007676015186,-0.017747009205012283,-6.878827202218007,0.006553160057582166,-2.4617312799852606,4.001463664611498
1997,HDFC,TCS,ITC,EICHERMOT,-0.02763075778154824,0.5970590956196501,0.011739394969179825,-8.231323508173896,-0.16184454518905078,-14.598932699052444,0.005049069100014511,-19.138331416630944,-2.353678179675274
1998,HDFC,TCS,ITC,WIPRO,0.06952275978445369,0.42311888364304595,0.011517973660497505,0.04538643687357592,0.00123549150052753,-6.444633553142102,0.004800030637635267,0.10890759328803318,6.036023508448511
1999,HDFC,TCS,ITC,SUNPHARMA,0.10383878207460145,0.6869620512704356,0.013689249311269275,2.544973890271794,0.05071427455151595,-2.9156527373377674,0.0062374916162308905,5.585383390968527,7.585425592995754
2000,HDFC,TCS,ITC,VIDEOIND,-0.6078851712125944,0.4493493766846556,0.01721366381713451,-39.32255087605591,-1.5063672196603914,-43.66514058242014,0.00795820457622014,-85.05501017593727,-35.31410730860821
2001,HDFC,TCS,ITC,HINDZINC,0.00028399752076895945,0.754875366779042,0.012275740066206612,-5.597707519760585,-0.09102959972377103,-11.68710652120118,0.005151159872847304,-13.339908714820817,0.02313485942495351
2002,HDFC,TCS,VIDEOIND,LT,-0.44531916938137495,0.6786947229115858,0.015653370484138517,-32.85676844501521,-0.7578063480071816,-37.63221788428125,0.007047634741258437,-72.9775574733513,-28.448772092413876
2003,HDFC,TCS,VIDEOIND,ICICIBANK,-0.44573696540543284,0.7802493812692344,0.016442724594078435,-31.30484625344917,-0.659708264770564,-35.85104410973532,0.007628753312830074,-67.47327437364447,-27.108461426517923
2004,HDFC,TCS,VIDEOIND,EICHERMOT,-0.526235604090481,0.468303533568979,0.015317077426310563,-38.860912400170314,-1.271046578602861,-43.74120889672648,0.007073025476428443,-84.1557274286884,-34.356136581679195
2005,HDFC,TCS,VIDEOIND,WIPRO,-0.4290820865244791,0.2943633215923749,0.01470133219406597,-33.88006474171942,-1.6920657228287688,-38.96476579563314,0.006441953980317688,-77.3184794623317,-29.186612536901475
2006,HDFC,TCS,VIDEOIND,SUNPHARMA,-0.39476606423433136,0.5582064892197646,0.01663740462373596,-27.874904453107654,-0.830814534031237,-32.36790567485213,0.007947762216623463,-58.351778978027646,-23.727622977392365
2007,HDFC,TCS,VIDEOIND,ITC,-0.44168355577628354,0.49226789736821264,0.014904716996222396,-34.26321720202513,-1.0374098301078043,-39.278534119484796,0.006455763998595192,-79.10505338909708,-29.633810282223294
2008,HDFC,TCS,VIDEOIND,HINDZINC,-0.49832084878816385,0.6261198047283709,0.01604684478461106,-35.35404351466184,-0.9060899280039292,-40.0123972474025,0.007396204847788914,-76.7043180203106,-31.054132789148305
2009,HDFC,TCS,HINDZINC,LT,0.010807707168647644,0.9078392154823756,0.012665218432331978,-4.5946537078901155,-0.06409977872616154,-10.496792680106736,0.0054394075132081126,-10.698277834497288,0.8533376053789606
